Start,End,Reward
S_04,S_62,-1
S_04,S_63,-1
S_04,S_64,-1
S_04,S_65,-1
S_04,S_66,-1
S_04,S_67,-1
S_04,S_68,-1
S_04,S_69,-1
S_04,S_69,-1
S_04,S_70,-1
S_04,S_71,-1
S_04,S_72,-1
S_04,S_73,-1
S_04,S_74,-1
S_04,S_75,-1
S_04,S_76,-1
S_04,S_77,-1
S_04,S_78,-1
S_04,S_79,-1
S_04,S_80,-1
S_04,S_81,-1
S_04,S_82,-1
S_04,S_83,-1
S_04,S_84,-1
S_04,S_85,-1
S_04,S_86,-1
S_04,S_87,-1
S_04,S_88,-1
S_04,S_89,-1
S_04,S_90,-1
S_04,S_91,-1
S_04,S_92,-1
S_04,S_93,-1
S_04,S_94,-1
S_04,S_95,-1
S_04,S_96,-1
S_04,S_97,-1
S_04,S_98,-1
S_04,S_99,-1
S_05,Goal,-1
S_05,S_00,-1
S_05,S_01,-1
S_05,S_02,0
S_05,S_03,0
S_05,S_04,0
S_05,S_05,0
S_05,S_06,-1
S_05,S_07,-1
S_05,S_08,-1
S_05,S_09,-1
S_05,S_10,-1
S_05,S_11,-1
S_05,S_12,-1
S_05,S_13,-1
S_05,S_14,-1
S_05,S_14,-1
S_05,S_15,-1
S_05,S_16,-1
S_05,S_16,-1
S_05,S_17,-1
S_05,S_18,-1
S_05,S_19,-1
S_05,S_20,-1
S_05,S_21,-1
S_05,S_22,-1
S_05,S_22,-1
S_05,S_23,-1
S_05,S_23,-1
S_05,S_24,-1
S_05,S_24,-1
S_05,S_25,-1
S_05,S_26,-1
S_05,S_27,-1
S_05,S_27,-1
S_05,S_28,-1
S_05,S_28,-1
S_05,S_29,-1
S_05,S_30,-1
S_05,S_31,-1
S_05,S_31,-1
S_05,S_32,-1
S_05,S_32,-1
S_05,S_33,-1
S_05,S_34,-1
S_05,S_35,-1
S_05,S_36,-1
S_05,S_37,-1
S_05,S_37,-1
S_05,S_38,-1
S_05,S_38,-1
S_05,S_39,-1
S_05,S_39,-1
S_05,S_40,-1
S_05,S_40,-1
S_05,S_41,-1
S_05,S_41,-1
S_05,S_42,-1
S_05,S_42,-1
S_05,S_43,-1
S_05,S_44,-1
S_05,S_45,-1
S_05,S_46,-1
S_05,S_47,-1
S_05,S_48,-1
S_05,S_48,-1
S_05,S_49,-1
S_05,S_49,-1
S_05,S_50,-1
S_05,S_50,-1
S_05,S_51,-1
S_05,S_51,-1
S_05,S_52,-1
S_05,S_52,-1
S_05,S_53,-1
S_05,S_54,-1
S_05,S_55,-1
S_05,S_56,-1
S_05,S_57,-1
S_05,S_58,-1
S_05,S_58,-1
S_05,S_59,-1
S_05,S_59,-1
S_05,S_60,-1
S_05,S_60,-1
S_05,S_61,-1
S_05,S_62,-1
S_05,S_63,-1
S_05,S_64,-1
S_05,S_65,-1
S_05,S_66,-1
S_05,S_67,-1
S_05,S_68,-1
S_05,S_68,-1
S_05,S_69,-1
S_05,S_69,-1
S_05,S_70,-1
S_05,S_70,-1
S_05,S_71,-1
S_05,S_72,-1
S_05,S_73,-1
S_05,S_74,-1
S_05,S_75,-1
S_05,S_76,-1
S_05,S_77,-1
S_05,S_78,-1
S_05,S_79,-1
S_05,S_79,-1
S_05,S_80,-1
S_05,S_81,-1
S_05,S_82,-1
S_05,S_83,-1
S_05,S_84,-1
S_05,S_85,-1
S_05,S_86,-1
S_05,S_87,-1
S_05,S_88,-1
S_05,S_89,-1
S_05,S_89,-1
S_05,S_90,-1
S_05,S_91,-1
S_05,S_92,-1
S_05,S_93,-1
S_05,S_94,-1
S_05,S_95,-1
S_05,S_96,-1
S_05,S_97,-1
S_05,S_98,-1
S_05,S_99,-1
S_06,Goal,-1
S_06,S_00,-1
S_06,S_01,-1
S_06,S_02,-1
S_06,S_03,-1
S_06,S_04,-1
S_06,S_05,-1
S_06,S_06,0
S_06,S_07,0
S_06,S_08,-1
S_06,S_09,-1
S_06,S_10,-1
S_06,S_11,-1
S_06,S_12,-1
S_06,S_13,-1
S_06,S_14,-1
S_06,S_15,-1
S_06,S_15,-1
S_06,S_16,0
S_06,S_17,-1
S_06,S_18,-1
S_06,S_19,-1
S_06,S_20,-1
S_06,S_21,-1
S_06,S_22,-1
S_06,S_23,-1
S_06,S_23,-1
S_06,S_24,-1
S_06,S_24,-1
S_06,S_25,-1
S_06,S_25,-1
S_06,S_26,-1
S_06,S_27,-1
S_06,S_28,-1
S_06,S_29,-1
S_06,S_30,-1
S_06,S_31,-1
S_06,S_31,-1
S_06,S_32,-1
S_06,S_32,-1
S_06,S_33,-1
S_06,S_33,-1
S_06,S_34,-1
S_06,S_34,-1
S_06,S_35,-1
S_06,S_35,-1
S_06,S_36,-1
S_06,S_37,-1
S_06,S_38,-1
S_06,S_39,-1
S_06,S_40,-1
S_06,S_40,-1
S_06,S_41,-1
S_06,S_41,-1
S_06,S_42,-1
S_06,S_42,-1
S_06,S_43,-1
S_06,S_43,-1
S_06,S_44,-1
S_06,S_44,-1
S_06,S_45,-1
S_06,S_46,-1
S_06,S_47,-1
S_06,S_48,-1
S_06,S_49,-1
S_06,S_50,-1
S_06,S_50,-1
S_06,S_51,-1
S_06,S_51,-1
S_06,S_52,-1
S_06,S_52,-1
S_06,S_53,-1
S_06,S_53,-1
S_06,S_54,-1
S_06,S_54,-1
S_06,S_55,-1
S_06,S_56,-1
S_06,S_57,-1
S_06,S_57,-1
S_06,S_58,-1
S_06,S_59,-1
S_06,S_60,-1
S_06,S_60,-1
S_06,S_61,-1
S_06,S_61,-1
S_06,S_62,-1
S_06,S_62,-1
S_06,S_63,-1
S_06,S_63,-1
S_06,S_64,-1
S_06,S_64,-1
S_06,S_65,-1
S_06,S_66,-1
S_06,S_67,-1
S_06,S_67,-1
S_06,S_68,-1
S_06,S_69,-1
S_06,S_70,-1
S_06,S_70,-1
S_06,S_71,-1
S_06,S_71,-1
S_06,S_72,-1
S_06,S_72,-1
S_06,S_73,-1
S_06,S_74,-1
S_06,S_74,-1
S_06,S_75,-1
S_06,S_76,-1
S_06,S_77,-1
S_06,S_78,-1
S_06,S_79,-1
S_06,S_80,-1
S_06,S_80,-1
S_06,S_81,-1
S_06,S_81,-1
S_06,S_82,-1
S_06,S_82,-1
S_06,S_83,-1
S_06,S_83,-1
S_06,S_84,-1
S_06,S_85,-1
S_06,S_86,-1
S_06,S_87,-1
S_06,S_88,-1
S_06,S_89,-1
S_06,S_90,-1
S_06,S_90,-1
S_06,S_91,-1
S_06,S_91,-1
S_06,S_92,-1
S_06,S_92,-1
S_06,S_93,-1
S_06,S_93,-1
S_06,S_94,-1
S_06,S_95,-1
S_06,S_96,-1
S_06,S_97,-1
S_06,S_98,-1
S_06,S_99,-1
S_07,Goal,-1
S_07,Goal,-1
S_07,S_00,-1
S_07,S_01,-1
S_07,S_02,-1
S_07,S_03,-1
S_07,S_04,-1
S_07,S_05,-1
S_07,S_06,0
S_07,S_07,0
S_07,S_08,0
S_07,S_09,-1
S_07,S_10,-1
S_07,S_11,-1
S_07,S_12,-1
S_07,S_13,-1
S_07,S_14,-1
S_07,S_14,-1
S_07,S_15,-1
S_07,S_16,-1
S_07,S_17,0
S_07,S_18,-1
S_07,S_19,-1
S_07,S_20,-1
S_07,S_20,-1
S_07,S_21,-1
S_07,S_22,-1
S_07,S_22,-1
S_07,S_23,-1
S_07,S_24,-1
S_07,S_25,-1
S_07,S_26,-1
S_07,S_27,0
S_07,S_28,-1
S_07,S_29,-1
S_07,S_30,-1
S_07,S_30,-1
S_07,S_31,-1
S_07,S_31,-1
S_07,S_32,-1
S_07,S_33,-1
S_07,S_34,-1
S_07,S_35,-1
S_07,S_36,-1
S_07,S_37,-1
S_07,S_38,-1
S_07,S_38,-1
S_07,S_39,-1
S_07,S_40,-1
S_07,S_41,-1
S_07,S_42,-1
S_07,S_43,-1
S_07,S_44,-1
S_07,S_45,-1
S_07,S_46,-1
S_07,S_47,-1
S_07,S_48,-1
S_07,S_48,-1
S_07,S_49,-1
S_07,S_50,-1
S_07,S_51,-1
S_07,S_52,-1
S_07,S_53,-1
S_07,S_54,-1
S_07,S_55,-1
S_07,S_56,-1
S_07,S_56,-1
S_07,S_57,-1
S_07,S_58,-1
S_07,S_58,-1
S_07,S_59,-1
S_07,S_59,-1
S_07,S_60,-1
S_07,S_61,-1
S_07,S_62,-1
S_07,S_63,-1
S_07,S_64,-1
S_07,S_65,-1
S_07,S_66,-1
S_07,S_67,-1
S_07,S_68,-1
S_07,S_68,-1
S_07,S_69,-1
S_07,S_69,-1
S_07,S_70,-1
S_07,S_71,-1
S_07,S_72,-1
S_07,S_73,-1
S_07,S_74,-1
S_07,S_75,-1
S_07,S_76,-1
S_07,S_77,-1
S_07,S_78,-1
S_07,S_78,-1
S_07,S_79,-1
S_07,S_79,-1
S_07,S_80,-1
S_07,S_81,-1
S_07,S_82,-1
S_07,S_83,-1
S_07,S_84,-1
S_07,S_85,-1
S_07,S_86,-1
S_07,S_87,-1
S_07,S_88,-1
S_07,S_89,-1
S_07,S_89,-1
S_07,S_90,-1
S_07,S_91,-1
S_07,S_92,-1
S_07,S_93,-1
S_07,S_94,-1
S_07,S_95,-1
S_07,S_96,-1
S_07,S_96,-1
S_07,S_97,-1
S_07,S_98,-1
S_07,S_99,-1
S_07,S_99,-1
S_08,Goal,-1
S_08,Goal,-1
S_08,S_00,-1
S_08,S_01,-1
S_08,S_02,-1
S_08,S_03,-1
S_08,S_04,-1
S_08,S_05,-1
S_08,S_06,-1
S_08,S_07,-1
S_08,S_08,0
S_08,S_09,0
S_08,S_10,-1
S_08,S_11,-1
S_08,S_12,-1
S_08,S_13,-1
S_08,S_14,-1
S_08,S_15,-1
S_08,S_16,-1
S_08,S_17,-1
S_08,S_18,0
S_08,S_19,-1
S_08,S_20,-1
S_08,S_21,-1
S_08,S_22,-1
S_08,S_23,-1
S_08,S_24,-1
S_08,S_25,-1
S_08,S_26,-1
S_08,S_27,-1
S_08,S_28,-1
S_08,S_29,-1
S_08,S_30,-1
S_08,S_31,-1
S_08,S_32,-1
S_08,S_33,-1
S_08,S_34,-1
S_08,S_35,-1
S_08,S_36,-1
S_08,S_37,-1
S_08,S_38,-1
S_08,S_39,-1
S_08,S_40,-1
S_08,S_41,-1
S_08,S_42,-1
S_08,S_43,-1
S_08,S_44,-1
S_08,S_45,-1
S_08,S_46,-1
S_08,S_47,-1
S_08,S_47,-1
S_08,S_48,-1
S_08,S_49,-1
S_08,S_50,-1
S_08,S_51,-1
S_08,S_52,-1
S_08,S_53,-1
S_08,S_54,-1
S_08,S_55,-1
S_08,S_56,-1
S_08,S_57,-1
S_08,S_58,-1
S_08,S_59,-1
S_08,S_59,-1
S_08,S_60,-1
S_08,S_61,-1
S_08,S_62,-1
S_08,S_63,-1
S_08,S_64,-1
S_08,S_65,-1
S_08,S_65,-1
S_08,S_66,-1
S_08,S_66,-1
S_08,S_67,-1
S_08,S_68,-1
S_08,S_69,-1
S_08,S_69,-1
S_08,S_70,-1
S_08,S_71,-1
S_08,S_72,-1
S_08,S_73,-1
S_08,S_74,-1
S_08,S_75,-1
S_08,S_75,-1
S_08,S_76,-1
S_08,S_76,-1
S_08,S_77,-1
S_08,S_78,-1
S_08,S_79,-1
S_08,S_80,-1
S_08,S_81,-1
S_08,S_82,-1
S_08,S_83,-1
S_08,S_84,-1
S_08,S_84,-1
S_08,S_85,-1
S_08,S_85,-1
S_08,S_86,-1
S_08,S_87,-1
S_08,S_88,-1
S_08,S_89,-1
S_08,S_90,-1
S_08,S_91,-1
S_08,S_92,-1
S_08,S_93,-1
S_08,S_94,-1
S_08,S_95,-1
S_08,S_95,-1
S_08,S_96,-1
S_08,S_97,-1
S_08,S_98,-1
S_08,S_99,-1
S_09,Goal,-1
S_09,S_00,-1
S_09,S_01,-1
S_09,S_02,-1
S_09,S_03,-1
S_09,S_04,-1
S_09,S_05,-1
S_09,S_06,-1
S_09,S_07,-1
S_09,S_08,0
S_09,S_09,0
S_09,S_10,-1
S_09,S_11,-1
S_09,S_12,-1
S_09,S_13,-1
S_09,S_14,-1
S_09,S_15,-1
S_09,S_16,-1
S_09,S_17,-1
S_09,S_18,-1
S_09,S_19,0
S_09,S_20,-1
S_09,S_21,-1
S_09,S_22,-1
S_09,S_23,-1
S_09,S_24,-1
S_09,S_25,-1
S_09,S_26,-1
S_09,S_27,-1
S_09,S_28,-1
S_09,S_29,0
S_09,S_30,-1
S_09,S_31,-1
S_09,S_32,-1
S_09,S_33,-1
S_09,S_34,-1
S_09,S_35,-1
S_09,S_36,-1
S_09,S_37,-1
S_09,S_38,-1
S_09,S_39,-1
S_09,S_40,-1
S_09,S_41,-1
S_09,S_41,-1
S_09,S_42,-1
S_09,S_43,-1
S_09,S_44,-1
S_09,S_45,-1
S_09,S_46,-1
S_09,S_47,-1
S_09,S_48,-1
S_09,S_49,-1
S_09,S_50,-1
S_09,S_51,-1
S_09,S_52,-1
S_09,S_53,-1
S_09,S_54,-1
S_09,S_55,-1
S_09,S_56,-1
S_09,S_57,-1
S_09,S_58,-1
S_09,S_59,-1
S_09,S_60,-1
S_09,S_61,-1
S_09,S_62,-1
S_09,S_63,-1
S_09,S_64,-1
S_09,S_65,-1
S_09,S_66,-1
S_09,S_67,-1
S_09,S_68,-1
S_09,S_69,-1
S_09,S_70,-1
S_09,S_71,-1
S_09,S_72,-1
S_09,S_73,-1
S_09,S_74,-1
S_09,S_75,-1
S_09,S_76,-1
S_09,S_77,-1
S_09,S_78,-1
S_09,S_78,-1
S_09,S_79,-1
S_09,S_80,-1
S_09,S_81,-1
S_09,S_82,-1
S_09,S_83,-1
S_09,S_84,-1
S_09,S_85,-1
S_09,S_86,-1
S_09,S_87,-1
S_09,S_88,-1
S_09,S_88,-1
S_09,S_89,-1
S_09,S_90,-1
S_09,S_91,-1
S_09,S_92,-1
S_09,S_93,-1
S_09,S_94,-1
S_09,S_95,-1
S_09,S_96,-1
S_09,S_97,-1
S_09,S_98,-1
S_09,S_98,-1
S_09,S_99,-1
S_10,Goal,-1
S_10,Goal,-1
S_10,S_00,0
S_10,S_01,-1
S_10,S_02,-1
S_10,S_03,-1
S_10,S_04,-1
S_10,S_05,-1
S_10,S_06,-1
S_10,S_07,-1
S_10,S_08,-1
S_10,S_09,-1
S_10,S_10,0
S_10,S_11,-1
S_10,S_12,-1
S_10,S_13,-1
S_10,S_14,-1
S_10,S_15,-1
S_10,S_16,-1
S_10,S_17,-1
S_10,S_18,-1
S_10,S_19,-1
S_10,S_20,0
S_10,S_21,-1
S_10,S_21,-1
S_10,S_21,-1
S_10,S_22,-1
S_10,S_23,-1
S_10,S_24,-1
S_10,S_25,-1
S_10,S_26,-1
S_10,S_27,-1
S_10,S_28,-1
S_10,S_29,-1
S_10,S_30,0
S_10,S_31,-1
S_10,S_32,-1
S_10,S_32,-1
S_10,S_32,-1
S_10,S_33,-1
S_10,S_33,-1
S_10,S_33,-1
S_10,S_34,-1
S_10,S_34,-1
S_10,S_35,-1
S_10,S_35,-1
S_10,S_36,-1
S_10,S_37,-1
S_10,S_38,-1
S_10,S_39,-1
S_10,S_40,0
S_10,S_41,-1
S_10,S_42,-1
S_10,S_42,-1
S_10,S_43,-1
S_10,S_44,-1
S_10,S_44,-1
S_10,S_44,-1
S_10,S_45,-1
S_10,S_45,-1
S_10,S_46,-1
S_10,S_46,-1
S_10,S_47,-1
S_10,S_48,-1
S_10,S_49,-1
S_10,S_50,0
S_10,S_51,-1
S_10,S_52,-1
S_10,S_52,-1
S_10,S_53,-1
